# Mnemonic          Explicit Operands             Implicit  Encoding                                   Flags, Prefixes, Set, Category, Class, RW map, Additional ops
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# 0x10 - 0x1F
VMOVSH              Vdq{K}{z},Wsh                 nil       [evex m:5 p:2 l:i w:0 0x10 /r:mem]         s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E5, w:W|R|R
VMOVSH              Vdq{K}{z},Hdq,Wsh             nil       [evex m:5 p:2 l:i w:0 0x10 /r:reg]         s:AVX512FP16, t:AVX512FP16, e:E5, w:W|R|R|R
VMOVSH              Wsh{K},Vdq                    nil       [evex m:5 p:2 l:i w:0 0x11 /r:mem]         s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E5, w:W|R|R
VMOVSH              Wsh{K}{z},Hdq,Vdq             nil       [evex m:5 p:2 l:i w:0 0x11 /r:reg]         s:AVX512FP16, t:AVX512FP16, e:E5, w:W|R|R|R
VCVTPS2PHX          Vh{K}{z},Wn|B32{er}           nil       [evex m:5 p:1 l:x w:0 0x1D /r]             s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R
VCVTSS2SH           Vdq{K}{z},Hdq,Wss{er}         nil       [evex m:5 p:0 l:i w:0 0x1D /r]             s:AVX512FP16, t:AVX512FP16, l:t1s, e:E3, w:W|R|R|R

# 0x20 - 0x2F
VCVTSI2SH           Vdq,Hdq,Ey                    nil       [evex m:5 p:2 l:i w:x 0x2A /r]             s:AVX512FP16, t:AVX512FP16, l:t1s, e:E3NF, w:W|R|R, a:IWO64
VCVTTSH2SI          Gy,Wsh{sae}                   nil       [evex m:5 p:2 l:i w:x 0x2C /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3NF, w:W|R, a:IWO64
VCVTSH2SI           Gy,Wsh{er}                    nil       [evex m:5 p:2 l:i w:x 0x2D /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3NF, w:W|R, a:IWO64
VUCOMISH            Vdq,Wsh{sae}                  Fv        [evex m:5 p:0 l:i w:0 0x2E /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3NF, w:R|R|W, f:ZF=m|PF=m|CF=m|OF=0|SF=0|AF=0
VCOMISH             Vdq,Wsh{sae}                  Fv        [evex m:5 p:0 l:i w:0 0x2F /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3NF, w:R|R|W, f:ZF=m|PF=m|CF=m|OF=0|SF=0|AF=0

# 0x50 - 0x5F
VSQRTPH             Vn{K}{z},Wn|B16{er}           nil       [evex m:5 p:0 l:x w:0 0x51 /r]             s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R
VSQRTSH             Vdq{K}{z},Hdq,Wsh{er}         nil       [evex m:5 p:2 l:i w:0 0x51 /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
VADDPH              Vn{K}{z},Hn,Wn|B16{er}        nil       [evex m:5 p:0 l:x w:0 0x58 /r]             s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R|R
VADDSH              Vdq{K}{z},Hdq,Wsh{er}         nil       [evex m:5 p:2 l:i w:0 0x58 /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
VMULPH              Vn{K}{z},Hn,Wn|B16{er}        nil       [evex m:5 p:0 l:x w:0 0x59 /r]             s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R|R
VMULSH              Vdq{K}{z},Hdq,Wsh{er}         nil       [evex m:5 p:2 l:i w:0 0x59 /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
VCVTPH2PD           Vn{K}{z},Wf|B16{sae}          nil       [evex m:5 p:0 l:x w:0 0x5A /r]             s:AVX512FP16, t:AVX512FP16, l:qv, e:E2, w:W|R|R
VCVTPD2PH           Vdq{K}{z},Wn|B64{er}          nil       [evex m:5 p:1 l:x w:1 0x5A /r]             s:AVX512FP16, t:AVX512FP16, l:fv, e:E2, w:W|R|R
VCVTSH2SD           Vdq{K}{z},Hdq,Wsh{sae}        nil       [evex m:5 p:2 l:i w:0 0x5A /r]             s:AVX512FP16, t:AVX512FP16, l:t1s16, e:E3, w:W|R|R|R
